source_path,section,corpus_id,type,primary_workbook
web/www/horas/Latin/Psalterium/Special/Matutinum Special.txt,Versiculus,shared-ad7f38d5e6fa5c9c198b,versicle,workbooks/by-season/christmastide.md
web/www/horas/Ordinarium/Matutinum.txt,Versiculus,shared-ad7f38d5e6fa5c9c198b,versicle,workbooks/by-season/christmastide.md
web/www/horas/Latin/Psalterium/Special/Major Special.txt,Hymnus,shared-ad87da3836d3be32357a,hymn,workbooks/by-season/christmastide.md
web/www/horas/Ordinarium/Laudes.txt,Hymnus,shared-ad87da3836d3be32357a,hymn,workbooks/by-season/christmastide.md
web/www/horas/Latin/Psalterium/Special/Matutinum Special.txt,Antiphona,shared-ad96c876c8d1059d9d4d,antiphon,workbooks/core/high-priority.md
web/www/horas/Ordinarium/Matutinum.txt,Antiphona,shared-ad96c876c8d1059d9d4d,antiphon,workbooks/core/high-priority.md
web/www/horas/Latin/Psalterium/Special/Minor Special.txt,Capitulum,shared-ad99cc908d04635a04f9,capitulum,workbooks/by-season/christmastide.md
web/www/horas/Ordinarium/Minor.txt,Capitulum,shared-ad99cc908d04635a04f9,capitulum,workbooks/by-season/christmastide.md
web/www/horas/Latin/Psalterium/Special/Minor Special.txt,Responsorium breve,shared-ad9aca064bc3a1238eef,responsory,workbooks/by-season/time-after-pentecost.md
web/www/horas/Ordinarium/Minor.txt,Responsorium breve,shared-ad9aca064bc3a1238eef,responsory,workbooks/by-season/time-after-pentecost.md
web/www/horas/Latin/Psalterium/Special/Major Special.txt,Antiphona repetita ad magnificat,shared-ada4f9b27d0e0adbc719,antiphon,workbooks/core/core.md
web/www/horas/Ordinarium/Vespera.txt,Antiphona repetita ad magnificat,shared-ada4f9b27d0e0adbc719,antiphon,workbooks/core/core.md
web/www/horas/Latin/Psalterium/Special/Matutinum Special.txt,Antiphona,shared-adab0c271d3112974323,antiphon,workbooks/core/high-priority.md
web/www/horas/Ordinarium/Matutinum.txt,Antiphona,shared-adab0c271d3112974323,antiphon,workbooks/core/high-priority.md
web/www/horas/Latin/Psalterium/Common/Prayers.txt,Dominus_vobiscum,shared-adb03f225be888779632,prayer,workbooks/by-season/lent-passiontide.md
